collection,author,repository,stars,forks,watchers,dependents,commits,branches,packages,releases,contributors,issues_open,issues_closed,pull_requests_open,pull_requests_closed,C,Java,Ruby,Assembly,C++,JavaScript,ActionScript,HTML,CSS,TSQL,Objective-C,Other,OCaml,Shell,TypeScript,Dockerfile,Go,Lex,Groovy,ANTLR,Batchfile,CoffeeScript,Tcl,Makefile,CMake,Python,PHP,Gherkin,Vim Snippet,Puppet,C#,Yacc,Vue,Swift,Roff,PowerShell,OpenSCAD,MATLAB,FreeMarker,PLpgSQL,Fortran,Csound,M,GLSL,Verilog,Lua,Perl,Awk,TeX,XSLT,Jupyter Notebook,R,Gnuplot,GAP,Scilab,Emacs Lisp,Objective-C++,Vim script,CWeb,YASnippet,Clojure,Inno Setup,Reason,Common Lisp,Rust,Starlark,Cuda,PureBasic,Scala
Software Defined Radio,gqrx,csete,1546,373,165,,1708,10,0,31,63,114.0,457.0,17,213,4.0,,,,93.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Defined Radio,liquid-dsp,jgaeddert,1015,277,118,,6555,2,0,6,22,64.0,63.0,25,50,89.0,,,,9.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Defined Radio,inspectrum,miek,1023,156,107,,480,8,0,5,28,34.0,75.0,4,54,,,,,95.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Defined Radio,shinysdr,kpreid,813,95,72,,1767,3,0,0,7,40.0,82.0,2,20,,,,,,35.0,,5.0,1.0,,,,,0.0,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Software Defined Radio,openbts,RangeNetworks,538,250,114,,415,4,0,4,8,25.0,6.0,8,5,1.0,,,,80.0,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,4.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,
Software Defined Radio,srsUE,srsLTE,215,66,52,,587,1,0,5,7,1.0,4.0,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Defined Radio,qspectrumanalyzer,xmikos,568,138,87,1.0,109,5,0,11,4,44.0,27.0,2,8,,,,,,,,,,,,,,0.0,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Defined Radio,CubicSDR,cjcliffe,1109,159,130,,1635,3,0,36,17,160.0,445.0,3,220,,,,,95.0,,,,,,,0.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Defined Radio,urh,jopohl,4978,504,308,1.0,2842,3,0,86,14,13.0,419.0,0,350,,,,,,,,,,,,0.0,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software development tools,betterspecs,betterspecs,3248,291,96,,54,5,0,0,15,29.0,32.0,5,148,,,3.0,,,18.0,,44.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software development tools,flint,pengwynn,1029,109,43,,106,2,0,4,12,2.0,13.0,4,23,,,,,,,,,,,,,,1.0,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software development tools,rfc,mislav,886,61,36,,76,2,0,0,3,9.0,12.0,9,12,,,30.0,,,55.0,,7.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software development tools,peek,peek,3115,146,58,,320,1,0,20,42,11.0,35.0,3,68,,,70.0,,,9.0,,14.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
