collection,author,repository,stars,forks,watchers,dependents,commits,branches,packages,releases,contributors,issues_open,issues_closed,pull_requests_open,pull_requests_closed,Rust,Python,JavaScript,C++,Makefile,Shell,Other,TypeScript,HTML,CSS,Ruby,Roff,Swift,Dockerfile,CoffeeScript,Java,GAP,CMake,Go,Emacs Lisp,Vim script,Haskell,Batchfile,PowerShell,Perl,R,Jupyter Notebook,Scala,PostScript,PHP,ActionScript,QML,Objective-C,CartoCSS,C,Objective-C++,Clojure,Erlang,SuperCollider,Gherkin,Vue,PLpgSQL,TSQL,Lua,Groovy,Puppet,C#,Tcl,SaltStack,NSIS,Rich Text Format,Starlark,M,Jsonnet,Hack,GLSL,Kotlin,AppleScript,HLSL,Assembly,xBase,OpenEdge ABL,LilyPond,HiveQL,MLIR,Cuda,XSLT,IDL,Smarty,ASP,VCL,TeX
Hacking Minecraft,Terasology,MovingBlocks,2816,1247.0,214,,10276,19,0,47,251,423.0,1368.0,56,2166,,,,,,0.0,,,,,,,,,,97.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,
JavaScript Game Engines,pixi.js,pixijs,29680,4088.0,1100,,5310,33,0,120,323,84.0,3988.0,9,2542,,,24.0,,,,1.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JavaScript Game Engines,phaser,photonstorm,27377,6216.0,1300,,14304,7,0,113,448,204.0,3069.0,30,1834,,,99.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JavaScript Game Engines,melonJS,melonjs,3036,504.0,160,,5034,17,0,46,50,59.0,704.0,2,223,,,97.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JavaScript Game Engines,kiwi.js,gamelab,1144,213.0,103,,885,15,0,18,15,66.0,213.0,3,19,,,72.0,,,,0.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JavaScript Game Engines,Crafty,craftyjs,2884,548.0,143,,2162,5,0,42,100,55.0,446.0,6,701,,,96.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JavaScript Game Engines,matter-js,liabru,10102,1193.0,241,,714,5,0,15,25,184.0,591.0,40,64,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JavaScript Game Engines,stage.js,shakiba,1932,224.0,70,,562,1,0,34,6,4.0,14.0,2,25,,,97.0,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JavaScript Game Engines,cocos2d-html5,cocos2d,2645,907.0,260,,8714,8,0,41,124,207.0,310.0,44,3011,,,99.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JavaScript Game Engines,engine,playcanvas,5387,899.0,322,,8513,27,0,682,71,174.0,567.0,25,1358,,,97.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
JavaScript Game Engines,lycheejs,Artificial-Engineering,706,114.0,68,,162,2,0,12,2,19.0,157.0,0,25,,,93.0,,,4.0,,,1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
JavaScript Game Engines,Babylon.js,BabylonJS,11618,2116.0,538,,24459,5,0,203,282,46.0,1822.0,6,6432,,,46.0,,,,,48.0,1.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
JavaScript Game Engines,panda-engine,ekelokorpi,632,110.0,49,,1413,2,0,48,12,10.0,147.0,6,54,,,99.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JavaScript Game Engines,qiciengine,qiciengine,729,125.0,91,,33,1,0,0,3,5.0,17.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
